team,url_logo_espn,employer_name
Brighton,https://a.espncdn.com/i/teamlogos/soccer/500/331.png,"Brighton And Hove Albion Football Club, Limited(The)"
Burnley,https://a.espncdn.com/i/teamlogos/soccer/500/379.png,"Burnley Football & Athletic Company, Limited(The)"
Chelsea,https://a.espncdn.com/i/teamlogos/soccer/500/363.png,Chelsea Football Club Limited
Everton,https://a.espncdn.com/i/teamlogos/soccer/500/368.png,"Everton Football Club Company, Limited"
Fulham,https://a.espncdn.com/i/teamlogos/soccer/500/370.png,Fulham Football Club Limited
Leicester,https://a.espncdn.com/i/teamlogos/soccer/500/375.png,Leicester City Football Club Limited
Man City,https://a.espncdn.com/i/teamlogos/soccer/500/382.png,Manchester City Football Club Limited
Man United,https://a.espncdn.com/i/teamlogos/soccer/500/360.png,Manchester United Football Club Limited
Newcastle,https://a.espncdn.com/i/teamlogos/soccer/500/361.png,Newcastle United Football Company Limited
Norwich,https://a.espncdn.com/i/teamlogos/soccer/500/381.png,Norwich City Football Club Plc
Southampton,https://a.espncdn.com/i/teamlogos/soccer/500/376.png,Southampton Football Club Limited
Stoke,https://a.espncdn.com/i/teamlogos/soccer/500/336.png,Stoke City Football Club Limited
Swansea,https://a.espncdn.com/i/teamlogos/soccer/500/318.png,Swansea City Association Football Club Limited(The)
Arsenal,https://a.espncdn.com/i/teamlogos/soccer/500/359.png,The Arsenal Football Club Public Limited Company
Liverpool,https://a.espncdn.com/i/teamlogos/soccer/500/364.png,The Liverpool Football Club And Athletic Grounds Limited
Tottenham,https://a.espncdn.com/i/teamlogos/soccer/500/367.png,Tottenham Hotspur Football & Athletic Co. Ltd
Watford,https://a.espncdn.com/i/teamlogos/soccer/500/395.png,Watford Association Football Club Limited(The)
West Brom,https://a.espncdn.com/i/teamlogos/soccer/500/383.png,West Bromwich Albion Football Club Limited
Wolves,https://a.espncdn.com/i/teamlogos/soccer/500/380.png,Wolverhampton Wanderers Football Club (1986) Limited
